类别：所有类别

月份,环境、社会和公司治理: (奥地利),企业社会责任: (奥地利),Impact investing: (奥地利),社會責任投資: (奥地利),可持续发展: (奥地利)
2013-01,25,44,0,0,13
2013-02,28,45,0,0,9
2013-03,25,41,0,0,9
2013-04,29,50,0,0,6
2013-05,28,40,0,0,11
2013-06,26,42,5,0,11
2013-07,24,34,0,0,9
2013-08,23,32,0,0,4
2013-09,29,36,0,0,7
2013-10,22,47,0,0,8
2013-11,28,44,0,0,10
2013-12,16,39,0,0,8
2014-01,25,45,0,0,8
2014-02,23,39,0,0,6
2014-03,20,51,0,0,7
2014-04,21,41,0,0,7
2014-05,19,52,0,0,8
2014-06,17,47,0,0,8
2014-07,25,32,0,5,6
2014-08,25,27,0,0,4
2014-09,26,40,0,0,8
2014-10,30,46,0,0,10
2014-11,22,48,0,0,11
2014-12,15,32,0,0,5
2015-01,19,39,0,0,9
2015-02,20,37,0,0,5
2015-03,27,40,0,0,8
2015-04,25,44,0,0,8
2015-05,21,37,0,0,10
2015-06,25,43,0,0,8
2015-07,24,30,0,0,7
2015-08,22,27,0,0,5
2015-09,21,33,0,0,10
2015-10,18,34,0,0,15
2015-11,18,43,0,0,13
2015-12,16,35,0,0,8
2016-01,18,36,0,0,12
2016-02,15,36,0,0,9
2016-03,20,39,0,0,12
2016-04,17,44,4,0,13
2016-05,16,41,0,0,7
2016-06,17,38,0,0,8
2016-07,13,29,0,0,9
2016-08,14,30,0,0,6
2016-09,15,35,0,0,12
2016-10,15,35,0,0,11
2016-11,0,40,0,0,12
2016-12,0,31,0,0,9
2017-01,0,34,0,0,13
2017-02,0,34,0,0,10
2017-03,0,40,0,0,19
2017-04,0,37,0,0,13
2017-05,0,36,0,0,11
2017-06,0,32,0,0,16
2017-07,0,17,0,0,8
2017-08,0,21,0,0,9
2017-09,0,27,0,0,11
2017-10,0,31,3,0,14
2017-11,3,32,0,0,14
2017-12,0,25,0,0,10
2018-01,0,34,0,0,14
2018-02,0,24,0,0,11
2018-03,0,32,0,0,13
2018-04,0,36,0,0,17
2018-05,0,32,0,0,19
2018-06,0,33,0,0,20
2018-07,0,18,0,0,13
2018-08,0,22,0,0,10
2018-09,0,26,0,0,14
2018-10,0,31,0,0,16
2018-11,0,29,3,0,16
2018-12,0,28,0,0,12
2019-01,0,28,0,0,13
2019-02,0,30,0,0,14
2019-03,0,30,0,3,17
2019-04,3,29,0,0,13
2019-05,0,33,0,3,17
2019-06,0,30,0,0,13
2019-07,4,17,0,0,9
2019-08,0,18,0,0,9
2019-09,4,22,0,0,9
2019-10,5,32,0,3,8
2019-11,3,32,0,4,9
2019-12,4,25,0,3,8
2020-01,8,28,0,4,10
2020-02,8,23,0,4,9
2020-03,9,24,0,6,10
2020-04,9,28,0,8,12
2020-05,12,27,0,5,11
2020-06,8,25,0,5,10
2020-07,13,21,0,7,8
2020-08,12,15,0,6,5
2020-09,13,22,0,9,10
2020-10,15,27,0,10,12
2020-11,15,30,0,15,14
2020-12,13,22,0,12,11
2021-01,19,26,0,19,12
2021-02,19,24,0,23,10
2021-03,21,28,0,29,13
2021-04,21,24,0,23,13
2021-05,24,24,0,22,11
2021-06,20,24,0,16,8
2021-07,17,15,0,14,6
2021-08,18,16,0,16,7
2021-09,23,23,0,15,10
2021-10,25,30,0,33,17
2021-11,28,26,0,30,16
2021-12,24,24,0,26,12
2022-01,30,30,0,34,15
2022-02,34,27,0,34,18
2022-03,30,38,0,27,17
2022-04,30,36,0,24,16
2022-05,34,35,0,27,17
2022-06,34,32,2,19,18
2022-07,28,21,0,16,13
2022-08,26,20,0,15,12
2022-09,35,20,0,19,14
2022-10,40,30,0,21,18
2022-11,39,34,0,21,16
2022-12,24,24,0,17,12
2023-01,36,32,2,22,17
2023-02,34,25,0,20,16
2023-03,51,32,0,15,20
2023-04,48,31,0,11,16
2023-05,52,28,0,10,14
2023-06,55,27,2,11,15
2023-07,48,21,0,9,9
2023-08,43,15,0,8,12
2023-09,58,22,0,7,11
2023-10,66,31,0,7,14
2023-11,71,32,0,8,14
2023-12,45,22,0,4,13
2024-01,62,25,0,6,15
2024-02,66,26,0,4,13
2024-03,66,26,0,6,13
2024-04,60,30,0,6,17
2024-05,53,29,0,6,17
2024-06,57,28,0,5,15
2024-07,48,20,0,4,9
2024-08,46,16,0,4,8
2024-09,56,20,0,0,12
2024-10,67,28,0,3,14
2024-11,72,29,0,3,14
2024-12,53,19,0,3,12
2025-01,63,25,0,6,16
2025-02,65,22,0,5,15
2025-03,65,23,<1,2,14
