类别：所有类别

月份,环境、社会和公司治理: (瑞典),企业社会责任: (瑞典),Impact investing: (瑞典),社會責任投資: (瑞典),可持续发展: (瑞典)
2012-01,1,15,0,0,54
2012-02,0,16,0,0,50
2012-03,0,17,0,0,51
2012-04,0,15,0,0,50
2012-05,1,15,0,1,54
2012-06,1,10,0,0,42
2012-07,0,8,0,0,41
2012-08,0,10,0,0,49
2012-09,1,15,0,0,61
2012-10,0,18,0,0,58
2012-11,0,17,0,0,59
2012-12,0,12,0,0,64
2013-01,1,15,0,0,62
2013-02,1,17,0,0,59
2013-03,1,15,0,0,65
2013-04,1,15,0,0,68
2013-05,1,17,0,0,66
2013-06,1,10,0,0,47
2013-07,0,6,0,0,43
2013-08,1,10,0,0,55
2013-09,1,15,0,1,68
2013-10,0,17,0,0,67
2013-11,1,18,0,0,70
2013-12,0,15,0,0,75
2014-01,0,17,0,0,69
2014-02,1,19,0,0,65
2014-03,1,18,1,0,68
2014-04,1,16,0,0,69
2014-05,1,17,0,0,70
2014-06,1,9,0,0,57
2014-07,4,6,0,0,47
2014-08,3,9,0,0,57
2014-09,1,16,0,0,70
2014-10,0,17,0,0,69
2014-11,1,15,0,0,75
2014-12,0,12,0,0,81
2015-01,1,17,0,0,75
2015-02,1,16,0,0,72
2015-03,1,15,0,0,71
2015-04,2,14,0,1,72
2015-05,1,16,0,0,77
2015-06,1,8,0,1,58
2015-07,0,6,0,0,53
2015-08,1,9,0,0,60
2015-09,1,17,0,0,81
2015-10,1,16,0,0,74
2015-11,1,16,0,0,83
2015-12,1,14,0,0,88
2016-01,1,16,0,0,82
2016-02,1,17,0,0,84
2016-03,1,15,0,0,78
2016-04,2,17,0,0,89
2016-05,1,18,0,0,86
2016-06,1,10,0,0,65
2016-07,1,5,0,0,56
2016-08,1,8,0,0,71
2016-09,2,18,0,0,87
2016-10,1,16,0,0,84
2016-11,2,17,0,0,51
2016-12,1,14,0,0,33
2017-01,1,16,0,0,37
2017-02,2,16,0,0,38
2017-03,1,19,0,0,40
2017-04,1,16,0,0,33
2017-05,2,17,0,0,45
2017-06,1,9,0,0,23
2017-07,1,5,0,0,12
2017-08,2,8,0,0,26
2017-09,2,14,0,0,47
2017-10,1,16,0,0,50
2017-11,1,15,0,0,45
2017-12,1,13,0,0,37
2018-01,2,16,0,0,45
2018-02,1,14,0,0,58
2018-03,2,15,0,0,100
2018-04,2,14,0,0,91
2018-05,2,15,0,0,98
2018-06,2,8,0,0,71
2018-07,1,5,0,0,55
2018-08,1,8,0,0,34
2018-09,2,16,0,0,43
2018-10,2,15,0,0,52
2018-11,2,15,0,0,75
2018-12,2,11,0,1,63
2019-01,2,13,0,0,58
2019-02,3,13,0,0,63
2019-03,4,12,0,0,66
2019-04,3,12,0,1,63
2019-05,2,13,0,<1,72
2019-06,3,7,0,0,73
2019-07,1,4,0,0,44
2019-08,2,8,0,0,52
2019-09,2,15,1,1,74
2019-10,3,16,0,0,80
2019-11,2,13,0,0,76
2019-12,2,9,0,1,66
2020-01,4,11,0,1,67
2020-02,4,11,1,1,72
2020-03,4,10,0,1,71
2020-04,3,10,0,1,63
2020-05,3,10,0,1,66
2020-06,5,7,0,1,37
2020-07,3,4,0,1,16
2020-08,4,6,0,1,31
2020-09,6,14,0,<1,62
2020-10,5,11,0,1,59
2020-11,6,10,0,0,62
2020-12,7,8,0,1,63
2021-01,9,9,0,1,91
2021-02,9,10,0,1,73
2021-03,10,9,0,1,59
2021-04,7,9,1,0,55
2021-05,7,8,1,0,54
2021-06,6,5,0,1,36
2021-07,8,3,0,0,23
2021-08,8,5,0,0,38
2021-09,9,10,0,0,60
2021-10,9,10,0,0,57
2021-11,8,9,0,0,57
2021-12,7,7,0,0,44
2022-01,7,10,0,0,55
2022-02,10,12,0,0,56
2022-03,11,13,0,1,68
2022-04,9,10,<1,0,60
2022-05,10,11,1,0,68
2022-06,10,6,0,0,33
2022-07,6,4,0,0,23
2022-08,7,5,0,0,40
2022-09,12,14,0,0,69
2022-10,12,13,0,<1,62
2022-11,11,10,0,0,59
2022-12,9,8,0,0,47
2023-01,11,10,0,<1,59
2023-02,13,11,1,1,62
2023-03,13,9,1,0,85
2023-04,12,9,0,1,69
2023-05,13,10,0,1,87
2023-06,12,5,0,0,41
2023-07,8,4,0,0,27
2023-08,11,6,0,0,50
2023-09,13,12,0,0,74
2023-10,14,13,0,1,78
2023-11,14,9,0,1,68
2023-12,11,8,0,0,48
2024-01,11,9,0,0,43
2024-02,15,9,0,0,45
2024-03,14,9,0,1,46
2024-04,12,9,0,1,33
2024-05,13,10,0,1,31
2024-06,10,5,0,1,12
2024-07,6,3,0,0,8
2024-08,9,6,0,1,15
2024-09,13,11,0,0,23
2024-10,12,10,0,1,24
2024-11,11,8,0,1,22
2024-12,9,6,0,0,16
2025-01,11,7,0,0,20
2025-02,12,8,0,0,23
2025-03,10,9,<1,<1,24
