类别：所有类别

月份,环境、社会和公司治理: (巴西),企业社会责任: (巴西),Impact investing: (巴西),社會責任投資: (巴西),可持续发展: (巴西)
2017-02,0,1,0,0,11
2017-03,0,1,0,0,18
2017-04,0,1,0,0,20
2017-05,0,1,<1,0,19
2017-06,0,1,<1,0,17
2017-07,0,1,0,0,9
2017-08,0,1,0,0,16
2017-09,0,1,0,0,19
2017-10,0,1,0,0,19
2017-11,0,2,<1,0,22
2017-12,0,1,0,0,10
2018-01,0,1,0,0,4
2018-02,0,1,<1,0,11
2018-03,0,2,<1,<1,28
2018-04,0,3,0,0,33
2018-05,0,4,<1,0,34
2018-06,0,3,<1,0,28
2018-07,0,2,<1,0,15
2018-08,<1,3,<1,<1,24
2018-09,<1,3,0,<1,21
2018-10,<1,3,<1,<1,20
2018-11,<1,3,<1,0,28
2018-12,0,2,<1,0,12
2019-01,0,1,<1,0,6
2019-02,0,2,0,0,13
2019-03,<1,2,<1,<1,18
2019-04,0,3,<1,<1,21
2019-05,<1,3,<1,<1,22
2019-06,<1,3,<1,<1,23
2019-07,<1,2,<1,<1,13
2019-08,<1,3,<1,<1,27
2019-09,<1,3,<1,<1,36
2019-10,<1,3,<1,<1,32
2019-11,<1,4,<1,<1,35
2019-12,<1,2,<1,<1,14
2020-01,<1,1,<1,<1,7
2020-02,<1,1,<1,<1,13
2020-03,<1,2,<1,<1,20
2020-04,<1,2,<1,<1,22
2020-05,<1,2,<1,<1,38
2020-06,<1,2,<1,<1,39
2020-07,3,2,<1,<1,30
2020-08,3,2,<1,<1,31
2020-09,3,2,<1,<1,45
2020-10,3,2,<1,<1,57
2020-11,3,3,<1,<1,67
2020-12,3,2,<1,<1,49
2021-01,4,1,0,0,21
2021-02,5,2,0,<1,37
2021-03,7,2,<1,<1,57
2021-04,7,2,<1,<1,76
2021-05,9,3,<1,<1,65
2021-06,9,3,<1,<1,53
2021-07,8,2,<1,<1,25
2021-08,10,2,0,<1,34
2021-09,11,3,<1,<1,45
2021-10,10,4,<1,<1,43
2021-11,10,3,<1,<1,56
2021-12,10,2,<1,<1,30
2022-01,11,2,0,<1,12
2022-02,11,2,<1,<1,25
2022-03,12,3,<1,<1,44
2022-04,13,4,<1,<1,45
2022-05,15,3,<1,<1,46
2022-06,15,3,<1,0,50
2022-07,16,2,<1,<1,22
2022-08,18,2,<1,<1,40
2022-09,22,3,<1,<1,53
2022-10,17,4,<1,<1,41
2022-11,17,4,<1,0,63
2022-12,17,2,<1,<1,25
2023-01,19,2,<1,<1,12
2023-02,15,2,0,0,26
2023-03,22,3,<1,<1,48
2023-04,23,3,<1,<1,47
2023-05,26,4,<1,<1,51
2023-06,24,3,<1,<1,46
2023-07,23,2,<1,<1,18
2023-08,23,2,<1,<1,34
2023-09,20,3,<1,<1,40
2023-10,20,3,<1,<1,35
2023-11,21,3,<1,<1,38
2023-12,15,2,<1,<1,18
2024-01,16,1,<1,<1,8
2024-02,22,2,<1,<1,19
2024-03,34,3,<1,1,36
2024-04,33,4,<1,<1,39
2024-05,26,4,0,<1,33
2024-06,22,3,<1,<1,28
2024-07,15,2,<1,<1,12
2024-08,24,2,<1,<1,24
2024-09,21,3,<1,<1,28
2024-10,20,3,<1,<1,24
2024-11,19,2,<1,<1,24
2024-12,14,2,<1,<1,13
2025-01,15,2,<1,<1,8
2025-02,17,2,<1,<1,15
2025-03,17,2,<1,<1,21
