类别：所有类别

月份,环境、社会和公司治理: (芬兰),企业社会责任: (芬兰),Impact investing: (芬兰),社會責任投資: (芬兰),可持续发展: (芬兰)
2021-04,19,11,0,0,71
2021-05,15,10,0,0,61
2021-06,19,7,0,0,34
2021-07,12,4,0,0,16
2021-08,20,7,0,0,50
2021-09,24,16,0,0,74
2021-10,28,16,0,0,71
2021-11,26,15,0,0,73
2021-12,31,12,0,0,56
2022-01,37,17,0,0,76
2022-02,39,19,0,2,89
2022-03,36,19,0,3,100
2022-04,31,17,0,2,89
2022-05,32,17,0,2,93
2022-06,29,11,0,0,41
2022-07,18,6,0,0,21
2022-08,32,10,0,0,59
2022-09,38,16,0,4,91
2022-10,43,18,2,0,84
2022-11,41,21,0,0,91
2022-12,29,17,0,0,63
2023-01,40,16,0,0,81
2023-02,41,17,2,3,83
2023-03,39,18,0,0,91
2023-04,36,14,0,0,77
2023-05,35,14,0,2,80
2023-06,34,9,0,0,31
2023-07,23,6,0,0,18
2023-08,39,10,0,0,51
2023-09,46,15,0,0,76
2023-10,53,14,0,0,69
2023-11,55,21,0,3,71
2023-12,35,13,0,0,45
2024-01,50,14,0,2,65
2024-02,53,20,0,2,77
2024-03,50,18,0,0,72
2024-04,46,16,0,0,70
2024-05,38,12,0,0,64
2024-06,32,7,0,0,30
2024-07,21,4,0,0,21
2024-08,32,10,0,0,48
2024-09,49,15,0,0,66
2024-10,48,15,0,0,72
2024-11,43,16,0,0,70
2024-12,35,13,0,0,49
2025-01,40,13,0,4,61
2025-02,37,18,0,3,58
2025-03,41,14,<1,1,67
