类别：所有类别

月份,环境、社会和公司治理: (法国),企业社会责任: (法国),Impact investing: (法国),社會責任投資: (法国),可持续发展: (法国)
2022-07,12,37,1,6,30
2022-08,9,28,<1,6,29
2022-09,14,64,1,7,57
2022-10,14,65,1,7,52
2022-11,15,70,1,7,56
2022-12,12,49,<1,6,42
2023-01,16,70,<1,8,55
2023-02,17,67,1,8,51
2023-03,18,74,<1,8,43
2023-04,15,64,1,7,36
2023-05,20,64,<1,8,38
2023-06,19,66,<1,8,32
2023-07,14,40,<1,6,20
2023-08,14,30,<1,5,19
2023-09,18,66,1,6,33
2023-10,17,77,1,7,33
2023-11,19,75,<1,8,35
2023-12,16,59,<1,6,29
2024-01,17,69,<1,6,32
2024-02,18,80,1,6,31
2024-03,17,73,1,7,33
2024-04,17,72,1,7,29
2024-05,15,66,1,6,29
2024-06,17,66,<1,6,26
2024-07,13,46,<1,5,18
2024-08,9,32,<1,4,16
2024-09,13,66,1,6,30
2024-10,15,74,1,6,32
2024-11,14,71,<1,6,30
2024-12,13,50,<1,6,26
2025-01,16,64,1,6,31
2025-02,15,68,1,6,26
2025-03,15,68,<1,7,30
