类别：所有类别

月份,环境、社会和公司治理: (南非),企业社会责任: (南非),Impact investing: (南非),社會責任投資: (南非),可持续发展: (南非)
2020-11,3,12,<1,1,10
2020-12,3,6,1,<1,4
2021-01,3,5,1,0,6
2021-02,5,11,0,1,5
2021-03,5,14,1,1,9
2021-04,5,21,1,1,10
2021-05,6,27,<1,2,13
2021-06,5,25,1,2,11
2021-07,6,17,1,2,8
2021-08,5,29,1,5,13
2021-09,6,24,1,2,16
2021-10,7,13,1,1,10
2021-11,7,12,1,1,12
2021-12,4,6,0,1,4
2022-01,7,7,1,1,5
2022-02,8,12,<1,1,12
2022-03,10,18,1,2,19
2022-04,9,25,1,2,16
2022-05,11,35,1,2,21
2022-06,11,20,1,2,14
2022-07,11,12,1,1,11
2022-08,10,34,1,2,23
2022-09,11,20,1,1,22
2022-10,12,14,1,1,14
2022-11,9,13,1,1,12
2022-12,6,5,<1,1,4
2023-01,9,6,1,1,5
2023-02,12,12,1,1,8
2023-03,11,14,<1,2,14
2023-04,12,14,1,1,14
2023-05,12,21,1,2,19
2023-06,12,13,1,2,15
2023-07,12,11,1,1,10
2023-08,11,30,1,2,22
2023-09,12,16,1,1,18
2023-10,11,11,1,1,13
2023-11,10,11,1,1,9
2023-12,7,4,<1,1,3
2024-01,9,6,1,1,5
2024-02,12,11,1,1,9
2024-03,11,12,1,1,15
2024-04,14,18,1,1,27
2024-05,12,18,1,1,26
2024-06,10,10,1,2,14
2024-07,11,12,1,2,13
2024-08,11,25,1,3,17
2024-09,13,14,1,2,16
2024-10,12,13,1,1,16
2024-11,10,9,0,1,11
2024-12,6,4,0,1,4
2025-01,10,5,1,1,5
2025-02,11,10,1,1,9
2025-03,10,12,<1,1,15
