类别：所有类别

月份,环境、社会和公司治理: (意大利),企业社会责任: (意大利),Impact investing: (意大利),社會責任投資: (意大利),可持续发展: (意大利)
2014-02,1,32,0,0,19
2014-03,2,30,0,0,17
2014-04,2,33,0,0,16
2014-05,1,32,1,0,20
2014-06,2,30,0,0,15
2014-07,2,32,0,0,9
2014-08,1,24,0,0,6
2014-09,2,35,1,0,14
2014-10,2,43,1,1,19
2014-11,2,39,0,1,19
2014-12,1,32,0,0,13
2015-01,1,33,0,0,16
2015-02,1,36,0,1,19
2015-03,2,38,1,1,18
2015-04,2,33,0,1,17
2015-05,2,33,1,1,21
2015-06,2,31,1,1,18
2015-07,2,31,0,1,9
2015-08,2,26,0,0,8
2015-09,3,32,1,0,15
2015-10,2,37,0,1,22
2015-11,2,36,1,1,20
2015-12,2,33,0,0,16
2016-01,2,37,0,1,17
2016-02,3,41,0,1,20
2016-03,3,39,1,1,18
2016-04,3,39,0,1,20
2016-05,2,39,1,1,21
2016-06,1,34,0,1,16
2016-07,2,34,1,0,10
2016-08,1,26,0,0,8
2016-09,3,34,1,1,15
2016-10,2,40,1,1,18
2016-11,2,34,0,0,23
2016-12,1,28,0,0,16
2017-01,1,31,1,1,19
2017-02,3,33,2,1,21
2017-03,2,31,1,1,22
2017-04,2,27,0,1,17
2017-05,3,30,1,1,29
2017-06,2,28,0,1,21
2017-07,3,25,0,0,12
2017-08,2,19,0,0,11
2017-09,3,28,1,1,20
2017-10,3,34,0,1,26
2017-11,3,27,1,1,30
2017-12,3,24,1,1,22
2018-01,2,27,1,1,26
2018-02,4,28,1,1,28
2018-03,4,34,1,1,33
2018-04,3,32,1,4,31
2018-05,1,34,1,4,43
2018-06,1,30,1,5,30
2018-07,2,27,1,3,14
2018-08,2,20,0,1,10
2018-09,2,23,1,2,19
2018-10,2,29,1,6,29
2018-11,5,33,2,7,35
2018-12,3,26,0,5,25
2019-01,6,31,1,7,26
2019-02,7,32,2,7,27
2019-03,7,37,1,8,28
2019-04,7,30,1,11,28
2019-05,5,33,1,8,47
2019-06,6,40,1,9,37
2019-07,6,33,1,9,19
2019-08,4,20,0,4,12
2019-09,8,31,1,11,36
2019-10,11,34,1,15,38
2019-11,9,25,1,14,32
2019-12,9,24,1,11,23
2020-01,6,27,1,15,30
2020-02,7,25,1,16,30
2020-03,5,25,1,12,29
2020-04,7,31,1,14,34
2020-05,8,28,1,15,43
2020-06,8,29,1,15,29
2020-07,13,24,1,15,18
2020-08,9,18,1,11,15
2020-09,14,26,1,17,37
2020-10,15,25,1,20,40
2020-11,25,28,2,15,59
2020-12,20,25,1,14,63
2021-01,23,25,1,12,84
2021-02,28,30,1,15,55
2021-03,32,31,1,15,64
2021-04,36,31,1,11,75
2021-05,32,31,1,9,100
2021-06,32,27,2,11,37
2021-07,34,22,1,10,16
2021-08,23,17,1,9,13
2021-09,42,26,1,9,28
2021-10,50,30,1,18,51
2021-11,56,28,1,21,53
2021-12,42,26,1,15,55
2022-01,45,31,2,16,82
2022-02,54,34,1,18,55
2022-03,61,35,1,17,70
2022-04,50,20,1,11,80
2022-05,53,22,2,17,89
2022-06,59,19,2,26,59
2022-07,44,19,2,39,30
2022-08,30,13,2,45,23
2022-09,50,19,1,51,44
2022-10,56,25,1,63,60
2022-11,51,21,2,69,69
2022-12,35,17,2,45,55
2023-01,39,20,1,52,85
2023-02,44,21,1,60,60
2023-03,62,26,1,33,63
2023-04,57,22,1,18,60
2023-05,72,28,2,8,74
2023-06,72,24,1,9,51
2023-07,64,21,1,15,35
2023-08,51,16,2,22,25
2023-09,76,24,2,21,44
2023-10,81,29,2,23,50
2023-11,74,23,1,28,58
2023-12,63,20,1,20,56
2024-01,71,23,1,13,59
2024-02,77,25,1,13,52
2024-03,67,23,1,22,51
2024-04,65,22,1,23,62
2024-05,77,22,1,24,74
2024-06,65,29,2,25,45
2024-07,64,21,1,20,32
2024-08,37,13,1,20,18
2024-09,65,18,1,26,29
2024-10,79,24,2,26,37
2024-11,82,23,2,29,42
2024-12,60,26,1,24,41
2025-01,66,36,1,24,51
2025-02,75,37,1,19,48
2025-03,70,34,1,16,47
