类别：所有类别

月份,环境、社会和公司治理: (新加坡),企业社会责任: (新加坡),Impact investing: (新加坡),社會責任投資: (新加坡),可持续发展: (新加坡)
2015-09,0,53,0,0,9
2015-10,3,50,0,0,10
2015-11,2,43,0,0,10
2015-12,3,30,0,0,4
2016-01,2,51,0,0,10
2016-02,0,64,0,0,10
2016-03,2,59,3,0,13
2016-04,3,44,0,0,9
2016-05,4,44,0,0,10
2016-06,4,37,0,0,7
2016-07,3,42,2,0,6
2016-08,4,51,2,0,8
2016-09,3,48,0,0,15
2016-10,4,47,0,0,12
2016-11,3,46,0,0,13
2016-12,3,31,0,0,10
2017-01,4,36,2,0,12
2017-02,5,43,2,0,12
2017-03,5,43,2,3,16
2017-04,5,41,2,0,11
2017-05,5,37,2,0,10
2017-06,6,34,2,0,10
2017-07,4,38,3,0,10
2017-08,5,39,2,0,10
2017-09,8,43,3,0,11
2017-10,6,44,2,0,12
2017-11,8,42,2,2,12
2017-12,4,27,0,0,7
2018-01,7,38,0,2,13
2018-02,8,49,3,0,15
2018-03,6,46,0,2,13
2018-04,11,43,2,2,15
2018-05,12,38,0,0,15
2018-06,12,33,3,2,12
2018-07,12,36,3,2,12
2018-08,13,39,2,2,14
2018-09,14,45,3,3,12
2018-10,15,46,4,2,13
2018-11,14,36,4,2,15
2018-12,11,22,3,2,5
2019-01,16,33,3,4,12
2019-02,15,36,3,4,11
2019-03,14,40,3,5,11
2019-04,13,39,2,6,14
2019-05,14,32,5,7,13
2019-06,14,26,4,6,11
2019-07,18,30,3,6,12
2019-08,15,34,3,4,8
2019-09,20,36,3,3,9
2019-10,25,36,4,5,10
2019-11,23,40,5,6,9
2019-12,19,27,2,4,6
2020-01,25,31,3,5,10
2020-02,31,33,2,6,11
2020-03,29,39,2,5,12
2020-04,29,28,4,4,10
2020-05,29,30,3,5,10
2020-06,33,27,3,7,8
2020-07,35,30,2,6,8
2020-08,35,31,4,6,10
2020-09,45,35,5,6,13
2020-10,40,36,3,5,11
2020-11,38,26,2,3,10
2020-12,34,20,2,2,7
2021-01,48,27,3,3,10
2021-02,56,28,3,3,13
2021-03,62,29,5,3,12
2021-04,65,41,3,4,13
2021-05,60,30,3,4,11
2021-06,68,28,2,3,11
2021-07,68,30,3,4,9
2021-08,70,37,3,5,15
2021-09,78,37,4,4,17
2021-10,86,34,3,4,14
2021-11,76,31,2,4,12
2021-12,54,20,0,3,8
2022-01,84,30,5,3,14
2022-02,88,33,4,4,17
2022-03,99,39,4,4,24
2022-04,93,37,4,3,22
2022-05,95,34,2,4,19
2022-06,98,37,4,4,15
2022-07,89,36,4,2,16
2022-08,90,37,4,4,17
2022-09,100,37,5,4,21
2022-10,93,37,3,4,21
2022-11,85,34,1,3,17
2022-12,62,22,3,2,11
2023-01,85,30,5,3,21
2023-02,95,39,4,3,19
2023-03,98,36,3,3,23
2023-04,88,36,4,3,19
2023-05,87,34,4,2,18
2023-06,79,33,4,3,13
2023-07,85,34,3,2,15
2023-08,90,35,4,3,20
2023-09,87,39,3,2,18
2023-10,90,36,5,3,17
2023-11,92,36,3,3,18
2023-12,58,24,3,3,11
2024-01,84,28,3,2,15
2024-02,84,33,3,2,18
2024-03,85,31,5,2,22
2024-04,82,33,4,4,22
2024-05,72,28,3,4,17
2024-06,69,27,2,2,14
2024-07,73,33,3,4,17
2024-08,71,29,2,3,16
2024-09,77,32,4,3,17
2024-10,82,33,3,4,17
2024-11,65,28,4,4,21
2024-12,50,19,0,4,11
2025-01,66,29,2,3,14
2025-02,67,29,0,3,19
2025-03,74,35,2,2,17
