类别：所有类别

月份,环境、社会和公司治理: (日本),企业社会责任: (日本),Impact investing: (日本),社會責任投資: (日本),可持续发展: (日本)
2015-11,3,30,0,<1,2
2015-12,3,30,0,0,2
2016-01,2,31,0,0,3
2016-02,2,31,<1,0,2
2016-03,2,29,<1,0,1
2016-04,2,34,0,0,2
2016-05,2,29,0,0,2
2016-06,2,33,0,0,2
2016-07,3,32,<1,<1,2
2016-08,3,27,1,<1,2
2016-09,3,28,<1,0,2
2016-10,3,33,<1,0,3
2016-11,3,32,0,2,5
2016-12,4,27,0,2,5
2017-01,5,29,0,3,6
2017-02,4,28,0,2,6
2017-03,4,27,0,1,4
2017-04,4,31,0,1,5
2017-05,4,27,<1,1,5
2017-06,4,31,0,1,6
2017-07,7,30,0,2,6
2017-08,5,24,<1,1,5
2017-09,10,26,0,2,5
2017-10,10,30,0,3,6
2017-11,9,32,0,2,7
2017-12,8,28,0,2,5
2018-01,9,28,0,2,7
2018-02,9,27,<1,2,7
2018-03,7,27,0,3,4
2018-04,9,27,0,5,5
2018-05,10,30,0,5,6
2018-06,11,32,0,6,6
2018-07,12,30,0,6,7
2018-08,10,25,0,4,5
2018-09,10,25,0,5,5
2018-10,11,30,0,8,7
2018-11,12,32,0,8,8
2018-12,10,27,0,8,6
2019-01,12,29,0,7,8
2019-02,12,28,0,8,7
2019-03,10,26,0,10,5
2019-04,10,30,0,11,6
2019-05,12,28,0,7,7
2019-06,14,31,0,7,6
2019-07,10,30,0,14,7
2019-08,8,22,0,9,6
2019-09,11,25,0,7,6
2019-10,12,28,0,8,7
2019-11,12,29,0,9,8
2019-12,13,28,0,9,8
2020-01,16,27,1,14,9
2020-02,13,28,1,11,9
2020-03,11,21,1,10,5
2020-04,10,22,1,8,5
2020-05,11,23,1,10,9
2020-06,16,29,1,14,8
2020-07,19,30,1,21,8
2020-08,15,23,1,26,7
2020-09,17,24,1,29,6
2020-10,20,25,1,32,9
2020-11,26,24,1,18,8
2020-12,31,23,1,10,6
2021-01,33,24,2,15,7
2021-02,38,24,2,15,7
2021-03,53,22,2,18,6
2021-04,42,25,2,16,9
2021-05,38,23,2,6,14
2021-06,49,26,2,5,13
2021-07,41,24,2,6,8
2021-08,34,18,2,5,6
2021-09,39,21,2,5,7
2021-10,43,23,2,6,9
2021-11,43,28,2,5,10
2021-12,38,40,2,1,12
2022-01,38,32,1,1,15
2022-02,36,31,1,1,6
2022-03,35,21,1,1,7
2022-04,39,29,1,1,9
2022-05,32,29,1,1,9
2022-06,39,27,2,1,11
2022-07,31,27,1,1,11
2022-08,27,25,1,1,8
2022-09,28,24,1,1,11
2022-10,33,30,2,1,11
2022-11,32,27,2,3,11
2022-12,28,26,1,2,9
2023-01,29,23,1,2,11
2023-02,31,24,2,2,14
2023-03,29,23,1,1,7
2023-04,29,24,1,1,6
2023-05,29,25,2,1,7
2023-06,34,27,2,1,8
2023-07,33,25,2,1,8
2023-08,29,21,2,1,5
2023-09,27,22,2,4,7
2023-10,28,24,1,5,8
2023-11,30,26,2,5,9
2023-12,29,25,2,4,7
2024-01,28,24,2,4,9
2024-02,28,24,2,4,12
2024-03,26,21,2,4,6
2024-04,26,23,2,3,6
2024-05,25,27,1,4,7
2024-06,24,24,2,4,8
2024-07,23,25,2,4,9
2024-08,18,18,1,2,5
2024-09,18,21,1,4,6
2024-10,21,24,1,5,4
2024-11,18,25,1,5,4
2024-12,19,26,1,4,7
2025-01,21,26,1,4,9
2025-02,17,22,1,3,10
2025-03,16,18,1,3,6
