类别：所有类别

月份,环境、社会和公司治理: (爱尔兰),企业社会责任: (爱尔兰),Impact investing: (爱尔兰),社會責任投資: (爱尔兰),可持续发展: (爱尔兰)
2017-09,4,29,0,0,11
2017-10,3,35,0,0,16
2017-11,3,45,0,0,24
2017-12,0,32,0,0,12
2018-01,4,32,0,0,18
2018-02,5,40,0,0,16
2018-03,4,49,0,0,17
2018-04,3,51,0,0,19
2018-05,0,40,0,0,18
2018-06,3,24,0,0,10
2018-07,5,23,0,0,10
2018-08,3,21,0,0,8
2018-09,3,27,0,3,16
2018-10,5,33,0,3,23
2018-11,5,45,0,3,29
2018-12,3,35,0,0,19
2019-01,7,31,0,4,21
2019-02,6,36,0,5,25
2019-03,5,43,0,4,27
2019-04,7,37,0,4,20
2019-05,7,32,0,3,24
2019-06,8,28,0,4,10
2019-07,6,26,0,3,12
2019-08,3,26,0,2,10
2019-09,6,23,0,3,14
2019-10,7,36,0,0,17
2019-11,11,44,0,4,19
2019-12,7,30,0,3,11
2020-01,11,30,0,3,17
2020-02,12,38,0,4,21
2020-03,8,32,0,3,18
2020-04,8,35,0,3,15
2020-05,11,34,0,0,15
2020-06,11,21,0,4,7
2020-07,13,19,0,2,7
2020-08,10,20,0,2,7
2020-09,21,24,0,0,16
2020-10,18,24,0,0,25
2020-11,20,31,0,0,30
2020-12,12,27,0,0,19
2021-01,18,26,0,0,22
2021-02,26,30,0,3,21
2021-03,26,34,0,2,23
2021-04,29,33,0,2,24
2021-05,27,29,0,0,23
2021-06,32,23,0,0,4
2021-07,26,22,0,0,7
2021-08,22,17,0,0,9
2021-09,29,22,0,0,21
2021-10,31,28,0,0,22
2021-11,40,41,0,0,33
2021-12,27,24,0,0,29
2022-01,41,28,0,0,31
2022-02,42,31,0,3,28
2022-03,44,34,0,3,35
2022-04,50,34,0,2,32
2022-05,48,29,0,0,32
2022-06,50,22,0,0,12
2022-07,41,19,0,0,14
2022-08,37,18,0,0,15
2022-09,49,28,0,3,26
2022-10,53,30,0,2,31
2022-11,51,37,2,2,36
2022-12,37,25,0,0,22
2023-01,46,27,0,3,26
2023-02,53,31,0,0,29
2023-03,59,30,0,3,35
2023-04,53,31,0,3,26
2023-05,55,33,0,0,27
2023-06,56,20,0,0,14
2023-07,44,19,0,0,10
2023-08,51,21,0,2,12
2023-09,50,24,0,0,27
2023-10,56,29,0,3,32
2023-11,64,35,0,3,35
2023-12,37,28,0,0,22
2024-01,53,27,0,3,27
2024-02,63,26,0,0,34
2024-03,53,30,0,3,30
2024-04,67,36,0,5,40
2024-05,47,29,0,2,24
2024-06,42,22,0,4,14
2024-07,41,19,0,0,15
2024-08,38,18,0,0,10
2024-09,45,21,0,4,31
2024-10,59,31,0,0,39
2024-11,57,33,0,3,36
2024-12,42,25,0,0,25
2025-01,45,23,0,0,27
2025-02,53,29,0,6,34
2025-03,50,35,1,2,38
