类别：所有类别

月份,环境、社会和公司治理: (土耳其),企业社会责任: (土耳其),Impact investing: (土耳其),社會責任投資: (土耳其),可持续发展: (土耳其)
2011-08,3,13,0,0,5
2011-09,3,14,0,0,7
2011-10,4,21,0,0,10
2011-11,3,18,0,0,9
2011-12,3,22,0,0,13
2012-01,6,19,0,0,10
2012-02,4,15,0,0,7
2012-03,5,26,0,0,11
2012-04,6,18,0,0,12
2012-05,7,20,0,0,12
2012-06,6,14,0,0,8
2012-07,4,20,0,0,5
2012-08,5,14,0,0,4
2012-09,4,17,0,0,6
2012-10,5,18,0,0,9
2012-11,6,18,0,0,12
2012-12,6,19,0,0,9
2013-01,6,20,0,0,6
2013-02,7,22,0,0,6
2013-03,7,23,0,0,8
2013-04,8,23,0,0,8
2013-05,8,22,0,0,10
2013-06,5,17,0,0,5
2013-07,7,16,0,0,4
2013-08,6,18,0,0,3
2013-09,8,22,0,0,6
2013-10,7,24,0,0,8
2013-11,7,30,0,0,11
2013-12,7,30,0,0,9
2014-01,6,22,0,0,8
2014-02,7,19,0,0,9
2014-03,7,26,0,0,6
2014-04,6,35,0,0,9
2014-05,7,34,0,0,10
2014-06,6,40,0,0,8
2014-07,9,45,0,0,7
2014-08,8,48,0,0,2
2014-09,8,56,0,0,5
2014-10,6,45,0,0,5
2014-11,7,45,0,0,11
2014-12,7,42,0,0,13
2015-01,7,45,0,0,10
2015-02,6,43,0,0,9
2015-03,7,47,0,0,11
2015-04,10,52,0,0,11
2015-05,6,45,0,0,12
2015-06,3,50,0,0,9
2015-07,2,59,0,0,7
2015-08,5,50,0,0,4
2015-09,2,57,0,0,5
2015-10,4,47,0,0,10
2015-11,5,45,0,0,10
2015-12,5,48,0,0,12
2016-01,4,52,0,0,10
2016-02,4,47,0,0,9
2016-03,4,42,0,0,13
2016-04,3,51,0,0,13
2016-05,4,59,0,0,17
2016-06,3,70,0,0,14
2016-07,3,57,0,0,6
2016-08,3,62,0,0,7
2016-09,4,65,0,0,5
2016-10,4,52,0,0,12
2016-11,2,14,0,0,18
2016-12,2,8,0,0,14
2017-01,2,6,0,0,14
2017-02,0,7,0,0,29
2017-03,0,7,0,0,38
2017-04,0,8,0,0,25
2017-05,0,8,0,0,26
2017-06,0,6,0,0,12
2017-07,0,5,0,0,10
2017-08,0,3,0,0,10
2017-09,0,8,0,0,10
2017-10,0,6,0,0,14
2017-11,0,9,0,0,16
2017-12,0,9,0,0,18
2018-01,0,6,0,0,14
2018-02,0,7,0,0,27
2018-03,0,8,0,0,44
2018-04,0,7,0,0,27
2018-05,0,9,0,0,29
2018-06,0,6,0,0,13
2018-07,3,5,0,0,14
2018-08,0,6,0,0,8
2018-09,0,7,0,0,12
2018-10,2,7,0,0,17
2018-11,0,9,0,0,22
2018-12,2,9,0,0,25
2019-01,4,6,0,0,18
2019-02,4,8,0,0,22
2019-03,2,6,0,0,32
2019-04,2,7,0,0,42
2019-05,0,7,0,0,42
2019-06,0,9,0,0,22
2019-07,0,9,0,0,16
2019-08,2,7,0,0,16
2019-09,0,15,0,3,14
2019-10,0,18,0,0,20
2019-11,0,13,0,0,29
2019-12,0,16,0,0,30
2020-01,0,11,0,2,24
2020-02,2,12,0,0,27
2020-03,2,12,1,0,23
2020-04,0,27,0,0,28
2020-05,3,24,2,0,31
2020-06,2,24,0,0,30
2020-07,2,17,0,0,15
2020-08,2,11,0,0,12
2020-09,2,11,0,2,19
2020-10,3,12,0,0,20
2020-11,3,17,0,0,28
2020-12,3,18,0,0,30
2021-01,3,18,0,0,34
2021-02,4,14,0,0,28
2021-03,4,15,2,0,26
2021-04,8,28,1,0,44
2021-05,9,15,0,0,33
2021-06,11,29,0,2,34
2021-07,8,16,0,0,16
2021-08,8,15,0,0,20
2021-09,10,14,2,0,25
2021-10,8,17,2,0,25
2021-11,11,19,2,0,32
2021-12,11,17,0,0,30
2022-01,10,22,0,0,44
2022-02,14,17,0,0,41
2022-03,15,21,0,0,47
2022-04,14,22,1,0,59
2022-05,14,20,1,1,49
2022-06,14,17,0,0,41
2022-07,13,14,0,0,20
2022-08,14,15,0,2,35
2022-09,12,11,0,1,33
2022-10,15,17,0,1,50
2022-11,17,19,0,1,63
2022-12,14,20,1,0,47
2023-01,17,19,0,0,44
2023-02,12,16,0,0,30
2023-03,20,22,1,0,47
2023-04,16,23,1,0,57
2023-05,19,33,2,0,50
2023-06,21,25,0,0,49
2023-07,17,14,1,0,26
2023-08,19,14,0,0,29
2023-09,17,15,0,0,30
2023-10,18,19,0,0,45
2023-11,19,20,0,0,55
2023-12,18,19,0,0,52
2024-01,19,18,0,0,49
2024-02,21,17,0,0,52
2024-03,20,19,0,0,55
2024-04,22,19,2,0,58
2024-05,23,21,2,0,73
2024-06,22,17,3,2,44
2024-07,22,17,2,2,37
2024-08,20,16,0,0,26
2024-09,22,13,2,0,44
2024-10,22,22,0,0,59
2024-11,21,22,0,0,72
2024-12,21,22,0,0,56
2025-01,20,21,0,0,49
2025-02,22,19,0,0,48
2025-03,21,15,<1,<1,53
