类别：所有类别

月份,环境、社会和公司治理: (荷兰),企业社会责任: (荷兰),Impact investing: (荷兰),社會責任投資: (荷兰),可持续发展: (荷兰)
2018-05,1,11,<1,1,44
2018-06,1,15,<1,1,43
2018-07,1,6,<1,<1,28
2018-08,1,6,<1,1,16
2018-09,1,9,<1,1,17
2018-10,1,9,<1,1,9
2018-11,2,10,<1,1,9
2018-12,1,8,<1,1,11
2019-01,1,9,<1,<1,7
2019-02,2,10,<1,1,6
2019-03,2,8,<1,1,4
2019-04,2,7,<1,1,3
2019-05,1,8,<1,1,3
2019-06,2,10,<1,1,3
2019-07,1,6,0,1,2
2019-08,1,5,<1,1,2
2019-09,1,11,<1,1,2
2019-10,2,10,<1,1,2
2019-11,2,10,<1,1,2
2019-12,1,8,<1,1,2
2020-01,2,10,<1,1,2
2020-02,2,10,<1,1,2
2020-03,2,9,<1,1,2
2020-04,2,9,<1,1,2
2020-05,2,9,<1,1,2
2020-06,2,9,<1,1,2
2020-07,2,6,<1,1,1
2020-08,2,5,<1,1,1
2020-09,3,10,<1,1,3
2020-10,3,9,<1,1,3
2020-11,3,9,<1,1,3
2020-12,3,7,<1,1,2
2021-01,4,9,<1,1,3
2021-02,6,9,<1,2,3
2021-03,5,9,<1,1,4
2021-04,5,8,<1,1,3
2021-05,4,7,<1,1,3
2021-06,5,8,<1,1,2
2021-07,4,5,<1,1,1
2021-08,4,4,<1,1,2
2021-09,6,8,<1,1,4
2021-10,6,8,<1,1,4
2021-11,7,9,<1,1,4
2021-12,5,7,<1,1,3
2022-01,7,8,<1,1,4
2022-02,8,9,<1,1,5
2022-03,9,12,<1,1,5
2022-04,9,10,<1,1,5
2022-05,10,9,<1,1,4
2022-06,10,10,<1,1,4
2022-07,7,5,<1,1,3
2022-08,7,5,<1,1,3
2022-09,10,9,<1,1,6
2022-10,10,9,1,1,4
2022-11,10,9,1,1,5
2022-12,8,7,<1,1,4
2023-01,10,9,<1,1,4
2023-02,12,9,<1,1,5
2023-03,12,11,1,1,5
2023-04,10,10,1,1,4
2023-05,11,10,<1,1,4
2023-06,12,9,<1,1,4
2023-07,10,7,1,1,2
2023-08,10,6,<1,<1,2
2023-09,13,9,1,1,5
2023-10,13,10,1,1,4
2023-11,13,8,1,1,4
2023-12,10,7,<1,1,3
2024-01,12,8,1,1,4
2024-02,15,9,1,1,4
2024-03,14,10,<1,1,4
2024-04,13,8,1,1,4
2024-05,13,8,1,1,4
2024-06,12,7,1,1,3
2024-07,9,5,1,1,2
2024-08,9,4,1,1,2
2024-09,13,8,1,1,4
2024-10,13,9,1,1,4
2024-11,12,7,<1,1,4
2024-12,11,6,<1,1,3
2025-01,11,7,1,1,3
2025-02,13,8,<1,1,4
2025-03,12,9,1,1,3
