类别：所有类别

月份,环境、社会和公司治理: (英国),企业社会责任: (英国),Impact investing: (英国),社會責任投資: (英国),可持续发展: (英国)
2017-05,4,56,2,4,22
2017-06,6,47,2,4,15
2017-07,9,42,2,3,11
2017-08,9,46,2,3,13
2017-09,9,43,3,3,17
2017-10,10,55,3,3,21
2017-11,10,60,3,4,21
2017-12,7,45,2,2,17
2018-01,9,57,3,4,20
2018-02,11,56,3,4,21
2018-03,9,63,3,4,23
2018-04,9,61,3,6,25
2018-05,10,59,3,6,24
2018-06,11,46,3,5,18
2018-07,11,44,3,5,15
2018-08,10,44,2,5,16
2018-09,11,43,3,5,16
2018-10,13,50,3,6,23
2018-11,14,57,3,6,32
2018-12,9,44,2,4,17
2019-01,12,53,2,6,20
2019-02,15,55,3,9,22
2019-03,16,57,3,9,25
2019-04,16,52,3,11,22
2019-05,18,51,3,12,21
2019-06,18,45,4,7,16
2019-07,20,42,3,6,16
2019-08,15,40,3,5,12
2019-09,20,42,3,6,13
2019-10,23,50,4,7,16
2019-11,22,54,4,7,16
2019-12,18,42,3,6,13
2020-01,25,50,3,9,16
2020-02,30,53,3,11,16
2020-03,20,46,2,7,15
2020-04,19,41,2,7,16
2020-05,24,43,2,8,15
2020-06,30,36,3,9,13
2020-07,34,35,3,8,10
2020-08,31,34,3,7,9
2020-09,39,37,3,8,12
2020-10,41,44,3,8,18
2020-11,44,46,4,6,20
2020-12,35,37,2,5,16
2021-01,43,42,3,6,21
2021-02,58,42,3,7,17
2021-03,60,50,3,7,17
2021-04,52,51,2,6,18
2021-05,55,50,3,5,17
2021-06,59,38,2,6,9
2021-07,53,33,2,5,8
2021-08,49,32,2,4,11
2021-09,64,34,3,5,14
2021-10,65,42,3,6,20
2021-11,77,54,3,7,26
2021-12,48,43,2,5,19
2022-01,75,54,3,6,28
2022-02,84,53,3,7,26
2022-03,87,64,4,8,32
2022-04,76,50,3,6,27
2022-05,86,50,3,6,28
2022-06,82,40,3,7,20
2022-07,78,36,3,7,15
2022-08,70,35,3,6,15
2022-09,79,39,3,6,19
2022-10,84,50,4,6,28
2022-11,84,55,4,7,31
2022-12,62,49,2,6,21
2023-01,76,51,3,7,25
2023-02,92,52,4,7,27
2023-03,100,56,4,6,31
2023-04,75,49,3,6,24
2023-05,72,53,4,6,26
2023-06,91,42,3,6,18
2023-07,84,38,3,5,16
2023-08,77,39,3,4,15
2023-09,72,39,3,6,20
2023-10,85,48,4,6,26
2023-11,90,53,4,6,30
2023-12,59,43,2,4,23
2024-01,81,48,3,6,25
2024-02,89,52,4,5,27
2024-03,84,52,3,6,28
2024-04,80,49,4,7,31
2024-05,67,42,4,7,26
2024-06,71,46,3,7,18
2024-07,68,39,4,7,18
2024-08,63,32,3,6,14
2024-09,66,36,4,6,21
2024-10,83,46,4,6,29
2024-11,74,50,4,6,28
2024-12,60,42,3,6,22
2025-01,69,44,4,7,25
2025-02,69,44,3,7,27
2025-03,74,48,4,7,29
