Month,ESG,CSR,ImpactInvesting,SRI,SustainableDevelopment,Country
2008-02,2,5,0,0,36,Brazil
2008-03,2,6,0,0,50,Brazil
2008-04,2,6,0,0,48,Brazil
2008-05,1,6,0,0,55,Brazil
2008-06,1,6,0,0,58,Brazil
2008-07,2,5,0,0,28,Brazil
2008-08,2,5,0,0,51,Brazil
2008-09,1,7,0,0,57,Brazil
2008-10,2,7,0,0,47,Brazil
2008-11,1,6,0,0,57,Brazil
2008-12,1,4,0,0,24,Brazil
2009-01,1,4,0,0,15,Brazil
2009-02,1,5,0,0,25,Brazil
2009-03,1,6,0,0,43,Brazil
2009-04,1,7,0,0,40,Brazil
2009-05,2,7,0,0,43,Brazil
2009-06,1,7,0,0,45,Brazil
2009-07,1,5,0,0,21,Brazil
2009-08,2,7,0,0,32,Brazil
2009-09,1,7,0,0,50,Brazil
2009-10,1,7,0,0,43,Brazil
2009-11,1,7,0,0,48,Brazil
2009-12,1,5,0,0,22,Brazil
2010-01,1,4,0,0,13,Brazil
2010-02,1,4,0,0,23,Brazil
2010-03,1,6,0,0,37,Brazil
2010-04,1,6,0,0,36,Brazil
2010-05,1,7,0,0,41,Brazil
2010-06,1,6,0,0,38,Brazil
2010-07,2,5,0,0,20,Brazil
2010-08,1,5,0,0,37,Brazil
2010-09,1,7,0,0,42,Brazil
2010-10,1,6,0,0,42,Brazil
2010-11,1,7,0,0,48,Brazil
2010-12,1,5,0,0,19,Brazil
2011-01,1,4,0,0,12,Brazil
2011-02,1,4,0,0,23,Brazil
2011-03,1,4,0,0,28,Brazil
2011-04,1,5,0,0,30,Brazil
2011-05,1,5,0,0,33,Brazil
2011-06,1,5,0,0,32,Brazil
2011-07,1,4,0,0,17,Brazil
2011-08,1,4,0,0,29,Brazil
2011-09,1,5,0,0,35,Brazil
2011-10,1,5,0,0,31,Brazil
2011-11,1,6,0,0,38,Brazil
2011-12,1,4,0,0,17,Brazil
2012-01,1,3,0,0,12,Brazil
2012-02,1,4,0,0,20,Brazil
2012-03,1,4,0,0,27,Brazil
2012-04,1,4,0,0,27,Brazil
2012-05,1,4,0,0,35,Brazil
2012-06,1,5,0,0,53,Brazil
2012-07,1,4,0,0,23,Brazil
2012-08,1,4,0,0,37,Brazil
2012-09,1,5,0,0,43,Brazil
2012-10,1,5,0,0,36,Brazil
2012-11,1,5,0,0,40,Brazil
2012-12,1,4,0,0,18,Brazil
2013-01,1,3,0,0,12,Brazil
2013-02,1,3,0,0,16,Brazil
2013-03,1,4,0,0,22,Brazil
2013-04,1,5,0,0,26,Brazil
2013-05,1,5,0,0,26,Brazil
2013-06,1,4,0,0,25,Brazil
2013-07,1,3,0,0,16,Brazil
2013-08,1,4,0,0,25,Brazil
2013-09,1,4,0,0,30,Brazil
2013-10,1,4,0,0,28,Brazil
2013-11,1,4,0,0,29,Brazil
2013-12,1,3,0,0,14,Brazil
2014-01,1,3,0,0,10,Brazil
2014-02,1,4,0,0,19,Brazil
2014-03,1,4,0,0,21,Brazil
2014-04,1,4,0,0,20,Brazil
2014-05,1,4,0,0,24,Brazil
2014-06,1,4,0,0,18,Brazil
2014-07,1,3,0,0,14,Brazil
2014-08,1,4,0,0,21,Brazil
2014-09,1,4,0,0,27,Brazil
2014-10,1,5,0,0,26,Brazil
2014-11,1,5,0.5,0,32,Brazil
2014-12,1,4,0,0,12,Brazil
2015-01,1,3,0,0,8,Brazil
2015-02,1,4,0,0,14,Brazil
2015-03,1,4,0,0,20,Brazil
2015-04,1,4,0,0,24,Brazil
2015-05,1,4,0,0,21,Brazil
2015-06,1,4,0,0,22,Brazil
2015-07,1,4,0,0,13,Brazil
2015-08,1,4,0,0,20,Brazil
2015-09,1,4,0,0,27,Brazil
2015-10,1,5,0,0,25,Brazil
2015-11,1,5,0,0,29,Brazil
2015-12,1,3,0.5,0,12,Brazil
2016-01,1,3,0,0,8,Brazil
2016-02,1,3,0,0,13,Brazil
2016-03,1,3,0,0,19,Brazil
2016-04,1,4,0,0,21,Brazil
2016-05,0.5,4,0,0,23,Brazil
2016-06,1,4,0,0,22,Brazil
2016-07,1,3,0,0,12,Brazil
2016-08,1,4,0,0,19,Brazil
2016-09,1,3,0,0,23,Brazil
2016-10,1,4,0,0,20,Brazil
2016-11,0,2,0,0,19,Brazil
2016-12,0.5,1,0,0,10,Brazil
2017-01,0,1,0,0,5,Brazil
2017-02,0,1,0,0,10,Brazil
2017-03,0,1,0,0,16,Brazil
2017-04,0,1,0,0,17,Brazil
2017-05,0,1,0.5,0,18,Brazil
2017-06,0,1,0.5,0,15,Brazil
2017-07,0,1,0,0.5,8,Brazil
2017-08,0,1,0.5,0,14,Brazil
2017-09,0,1,0,0,17,Brazil
2017-10,0,1,0.5,0,16,Brazil
2017-11,0,2,0.5,0,18,Brazil
2017-12,0,1,0,0,8,Brazil
2018-01,0,0.5,0,0,4,Brazil
2018-02,0,1,0,0,9,Brazil
2018-03,0,2,0,0.5,24,Brazil
2018-04,0,2,0,0,29,Brazil
2018-05,0,3,0.5,0,30,Brazil
2018-06,0,2,0.5,0,24,Brazil
2018-07,0,1,0,0,13,Brazil
2018-08,0.5,2,0.5,0.5,21,Brazil
2018-09,0,2,0.5,0,19,Brazil
2018-10,0.5,3,0.5,0.5,17,Brazil
2018-11,0,3,0.5,0,25,Brazil
2018-12,0,1,0,0.5,11,Brazil
2019-01,0,1,0,0,5,Brazil
2019-02,0,1,0.5,0.5,12,Brazil
2019-03,0.5,2,0.5,0.5,15,Brazil
2019-04,0.5,2,0.5,0.5,18,Brazil
2019-05,0.5,3,0.5,0.5,19,Brazil
2019-06,0.5,3,0.5,0.5,21,Brazil
2019-07,0.5,1,0.5,0.5,12,Brazil
2019-08,0.5,2,0.5,0.5,23,Brazil
2019-09,0.5,2,0.5,0.5,31,Brazil
2019-10,0.5,3,0.5,0.5,28,Brazil
2019-11,0.5,3,0.5,0.5,30,Brazil
2019-12,0.5,1,0.5,0.5,12,Brazil
2020-01,0.5,1,0.5,0.5,6,Brazil
2020-02,0.5,1,0.5,0.5,12,Brazil
2020-03,0.5,2,0.5,0.5,18,Brazil
2020-04,0.5,2,0.5,0.5,19,Brazil
2020-05,0.5,2,0.5,0.5,33,Brazil
2020-06,0.5,2,0.5,0.5,35,Brazil
2020-07,2,1,0.5,0.5,26,Brazil
2020-08,2,1,0.5,0.5,27,Brazil
2020-09,3,2,0.5,0.5,37,Brazil
2020-10,2,2,0.5,0.5,49,Brazil
2020-11,2,3,0.5,0.5,59,Brazil
2020-12,3,1,0.5,0,43,Brazil
2021-01,3,1,0.5,0,19,Brazil
2021-02,4,1,0,0.5,31,Brazil
2021-03,6,2,0.5,0.5,50,Brazil
2021-04,6,2,0.5,0.5,68,Brazil
2021-05,8,2,0.5,0.5,58,Brazil
2021-06,8,2,0.5,0.5,47,Brazil
2021-07,7,1,0.5,0.5,22,Brazil
2021-08,8,1,0.5,0,30,Brazil
2021-09,9,2,0.5,0.5,40,Brazil
2021-10,8,3,0.5,0.5,37,Brazil
2021-11,9,3,0.5,0.5,50,Brazil
2021-12,8,2,0.5,0.5,27,Brazil
2022-01,9,1,0,0.5,11,Brazil
2022-02,9,2,0.5,0.5,22,Brazil
2022-03,9,3,0.5,0.5,39,Brazil
2022-04,12,3,0.5,0.5,40,Brazil
2022-05,13,3,0.5,0.5,40,Brazil
2022-06,13,3,0.5,0,42,Brazil
2022-07,14,2,0.5,0.5,19,Brazil
2022-08,15,2,0.5,0.5,34,Brazil
2022-09,18,2,0.5,0.5,44,Brazil
2022-10,15,3,0.5,0.5,35,Brazil
2022-11,15,3,0.5,0,52,Brazil
2022-12,14,2,0.5,0.5,21,Brazil
2023-01,17,1,0,0.5,9,Brazil
2023-02,14,1,0,0.5,23,Brazil
2023-03,20,2,0.5,0.5,42,Brazil
2023-04,19,3,0.5,0.5,41,Brazil
2023-05,22,3,0.5,0.5,43,Brazil
2023-06,21,3,0.5,0.5,39,Brazil
2023-07,19,2,0.5,0.5,16,Brazil
2023-08,20,2,0.5,0.5,30,Brazil
2023-09,18,2,0.5,0.5,34,Brazil
2023-10,18,2,0.5,0.5,30,Brazil
2023-11,18,2,0.5,0.5,33,Brazil
2023-12,13,2,0.5,0.5,15,Brazil
2024-01,14,1,0.5,0.5,7,Brazil
2024-02,19,2,0.5,0.5,16,Brazil
2024-03,30,2,0.5,1,32,Brazil
2024-04,29,4,0.5,0.5,34,Brazil
2024-05,24,4,0,0.5,29,Brazil
2024-06,19,2,0,0.5,24,Brazil
2024-07,14,2,0.5,0.5,10,Brazil
2024-08,20,2,0.5,0.5,21,Brazil
2024-09,20,2,0,0.5,25,Brazil
2024-10,18,2,0.5,0.5,22,Brazil
2024-11,17,2,0,0.5,22,Brazil
2024-12,11,1,0.5,0,12,Brazil
2025-01,15,2,0.5,0.5,7,Brazil
2025-02,15,2,0.5,0.5,13,Brazil
2025-03,15,2,0.5,0.5,17,Brazil
2004-01,0,38,0,0,60,Canada
2004-02,15,40,0,0,76,Canada
2004-03,0,47,0,0,63,Canada
2004-04,0,49,0,0,64,Canada
2004-05,0,32,0,0,62,Canada
2004-06,0,39,0,12,55,Canada
2004-07,0,37,0,0,46,Canada
2004-08,0,36,0,0,39,Canada
2004-09,10,37,0,0,42,Canada
2004-10,10,51,0,0,74,Canada
2004-11,0,57,0,0,68,Canada
2004-12,0,36,0,0,50,Canada
2005-01,0,30,0,0,55,Canada
2005-02,0,47,0,0,83,Canada
2005-03,8,43,0,0,81,Canada
2005-04,0,47,0,8,72,Canada
2005-05,9,46,0,0,58,Canada
2005-06,8,44,0,7,60,Canada
2005-07,0,41,0,0,51,Canada
2005-08,8,30,0,0,48,Canada
2005-09,0,44,0,0,52,Canada
2005-10,0,43,0,7,61,Canada
2005-11,7,41,0,0,72,Canada
2005-12,0,33,0,0,50,Canada
2006-01,5,40,0,0,47,Canada
2006-02,0,34,0,13,65,Canada
2006-03,7,45,0,6,66,Canada
2006-04,9,41,0,5,56,Canada
2006-05,0,42,0,6,53,Canada
2006-06,8,37,0,0,47,Canada
2006-07,0,33,0,7,39,Canada
2006-08,8,34,0,0,29,Canada
2006-09,7,36,0,0,46,Canada
2006-10,7,45,0,5,52,Canada
2006-11,7,47,0,0,61,Canada
2006-12,0,29,0,0,39,Canada
2007-01,6,35,0,4,48,Canada
2007-02,8,43,0,7,53,Canada
2007-03,8,45,0,7,52,Canada
2007-04,8,43,0,6,46,Canada
2007-05,7,42,0,7,44,Canada
2007-06,6,39,0,4,42,Canada
2007-07,4,35,0,6,39,Canada
2007-08,5,37,0,4,30,Canada
2007-09,7,39,0,4,48,Canada
2007-10,6,42,0,7,60,Canada
2007-11,5,48,0,4,50,Canada
2007-12,4,34,0,4,40,Canada
2008-01,8,45,0,7,41,Canada
2008-02,6,42,0,6,46,Canada
2008-03,9,45,0,5,53,Canada
2008-04,9,54,0,4,49,Canada
2008-05,7,44,0,6,45,Canada
2008-06,5,42,0,5,41,Canada
2008-07,3,43,0,5,34,Canada
2008-08,7,35,0,0,29,Canada
2008-09,9,41,0,3,42,Canada
2008-10,7,50,0,4,56,Canada
2008-11,7,50,0,4,49,Canada
2008-12,5,33,0,4,36,Canada
2009-01,7,40,0,4,41,Canada
2009-02,5,46,0,4,48,Canada
2009-03,7,51,0,3,45,Canada
2009-04,10,49,0,3,50,Canada
2009-05,6,45,0,4,46,Canada
2009-06,5,44,0,6,38,Canada
2009-07,5,39,0,4,24,Canada
2009-08,4,32,0,0,28,Canada
2009-09,8,36,0,3,43,Canada
2009-10,6,51,0,3,50,Canada
2009-11,6,53,0,4,47,Canada
2009-12,3,34,0,3,42,Canada
2010-01,8,46,0,2,42,Canada
2010-02,5,47,0,4,41,Canada
2010-03,6,55,0,4,42,Canada
2010-04,7,56,2,4,47,Canada
2010-05,6,44,0,3,39,Canada
2010-06,4,46,0,3,35,Canada
2010-07,5,37,0,2,26,Canada
2010-08,5,36,0,3,25,Canada
2010-09,7,43,0,2,34,Canada
2010-10,5,54,0,4,41,Canada
2010-11,6,61,0,3,44,Canada
2010-12,4,41,0,3,30,Canada
2011-01,7,41,0,2,33,Canada
2011-02,9,49,0,4,41,Canada
2011-03,7,58,0,3,41,Canada
2011-04,8,48,0,3,35,Canada
2011-05,6,45,0,3,35,Canada
2011-06,6,47,0,3,32,Canada
2011-07,5,37,0,2,24,Canada
2011-08,6,37,0,2,27,Canada
2011-09,8,41,0,3,35,Canada
2011-10,8,58,1,3,48,Canada
2011-11,8,57,1,4,45,Canada
2011-12,6,40,0,2,35,Canada
2012-01,8,43,0,2,35,Canada
2012-02,8,52,0,3,41,Canada
2012-03,11,54,2,3,40,Canada
2012-04,6,51,0,2,38,Canada
2012-05,8,45,1,2,36,Canada
2012-06,6,44,0,2,35,Canada
2012-07,5,42,1,2,29,Canada
2012-08,5,38,0,2,25,Canada
2012-09,7,43,1,2,35,Canada
2012-10,7,57,1,3,37,Canada
2012-11,9,59,2,2,38,Canada
2012-12,6,39,1,3,28,Canada
2013-01,9,46,1,2,33,Canada
2013-02,8,55,2,3,38,Canada
2013-03,9,52,1,3,35,Canada
2013-04,8,55,1,5,41,Canada
2013-05,6,52,1,2,32,Canada
2013-06,5,50,1,2,27,Canada
2013-07,6,39,2,1,21,Canada
2013-08,6,35,1,2,19,Canada
2013-09,9,49,1,2,30,Canada
2013-10,8,61,2,3,32,Canada
2013-11,8,54,1,3,33,Canada
2013-12,6,44,1,2,25,Canada
2014-01,10,46,1,2,29,Canada
2014-02,8,48,2,4,33,Canada
2014-03,10,59,2,2,30,Canada
2014-04,8,54,2,3,30,Canada
2014-05,7,49,2,3,31,Canada
2014-06,5,47,2,2,26,Canada
2014-07,7,41,2,2,19,Canada
2014-08,7,36,1,3,17,Canada
2014-09,13,51,2,2,30,Canada
2014-10,10,61,2,3,34,Canada
2014-11,9,59,2,3,36,Canada
2014-12,8,43,2,2,25,Canada
2015-01,11,51,1,3,32,Canada
2015-02,11,55,2,3,32,Canada
2015-03,11,61,2,3,29,Canada
2015-04,10,54,2,3,30,Canada
2015-05,7,53,3,3,27,Canada
2015-06,8,50,2,3,27,Canada
2015-07,6,44,1,2,18,Canada
2015-08,8,39,1,3,20,Canada
2015-09,12,51,1,2,31,Canada
2015-10,10,60,2,3,34,Canada
2015-11,11,62,2,3,37,Canada
2015-12,9,46,1,2,27,Canada
2016-01,10,51,1,3,32,Canada
2016-02,12,53,2,4,32,Canada
2016-03,11,59,2,4,33,Canada
2016-04,11,58,2,3,32,Canada
2016-05,7,55,2,3,30,Canada
2016-06,8,48,2,3,29,Canada
2016-07,6,37,2,3,17,Canada
2016-08,8,37,1,2,18,Canada
2016-09,13,49,1,2,30,Canada
2016-10,10,61,2,3,33,Canada
2016-11,7,57,2,4,43,Canada
2016-12,5,39,2,4,31,Canada
2017-01,5,48,2,4,39,Canada
2017-02,5,52,3,5,37,Canada
2017-03,5,62,3,5,43,Canada
2017-04,4,50,1,5,39,Canada
2017-05,5,44,3,4,34,Canada
2017-06,4,45,2,3,33,Canada
2017-07,5,37,2,3,21,Canada
2017-08,5,31,2,3,20,Canada
2017-09,5,46,2,3,35,Canada
2017-10,6,56,2,5,40,Canada
2017-11,6,55,3,4,41,Canada
2017-12,4,40,2,4,30,Canada
2018-01,6,44,2,5,39,Canada
2018-02,6,53,2,4,44,Canada
2018-03,5,60,3,4,43,Canada
2018-04,6,56,3,5,52,Canada
2018-05,5,52,2,5,46,Canada
2018-06,6,47,2,5,40,Canada
2018-07,5,40,2,3,26,Canada
2018-08,5,32,2,3,25,Canada
2018-09,7,47,3,5,41,Canada
2018-10,9,56,3,5,45,Canada
2018-11,7,56,3,4,54,Canada
2018-12,5,41,2,4,38,Canada
2019-01,7,42,2,6,40,Canada
2019-02,8,47,3,6,44,Canada
2019-03,10,53,2,7,44,Canada
2019-04,11,49,3,9,44,Canada
2019-05,11,46,2,7,41,Canada
2019-06,10,44,2,5,37,Canada
2019-07,9,39,2,6,29,Canada
2019-08,10,33,2,5,24,Canada
2019-09,14,44,3,8,34,Canada
2019-10,12,55,2,8,39,Canada
2019-11,14,53,3,8,38,Canada
